symbol	n_wheels	wheels	sos
GFORTRAN_8	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
GFORTRAN_C99_8	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
GFORTRAN_F2C_8	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
GOACC_2.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_2.0.1	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_data_end	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_data_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_declare	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_enter_exit_data	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_get_num_threads	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_get_thread_num	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_parallel	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_parallel_keyed	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOACC_update	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
